Site,"Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake","Main Lake"
"Time America/New_York UTC-04:00","Processor Power","RTC Power","Primary Power","Secondary Power","Sensor Power","Total System Current","Sensor Current","Internal Pressure","Internal Temperature","Internal Humidity","Cell Signal Strength","Cell Status",Temp00,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,Temp07,Temp08,Temp09,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23,Temp24,Temp25,Temp26,Temp27,Temp28,Temp29,Temp30,Temp31,Temp32,Temp33,Temp34,Temp35,Temp36,Temp37,Temp38,"UTC Time",Latitude,Longitude,Altitude,COG,COG,"Rel. Barometric Pressure","Air Temperature","Relative Humidity",Dewpoint,"Wind Direction","Magnetic Wind Direction","Wind Speed","Wind Direction","Wind Speed",Pitch,Roll
,V,V,V,V,V,mA,mA,mBar,C,%,dB,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,hhmmss,Deg,Deg,m,Tdeg,Mdeg,inHg,C,%,C,Deg,Deg,m/s,Deg,knots,Deg,Deg
"05-04-2022 18:00:00",,3.0,5.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-04-2022 19:45:00",,3.0,14.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-04-2022 20:30:00",,3.0,14.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-04-2022 21:00:00",,3.0,14.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-04-2022 21:45:00",,3.0,14.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-05-2022 01:15:00",,3.0,14.7,0.1,,,0.3,1015.9,28.70,33.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-05-2022 05:15:00",,3.0,4.9,0.1,,,0.3,1017.2,28.45,32.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-05-2022 06:00:00",,3.0,4.1,0.1,,,1.7,1017.5,27.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
